'Time and date','EEG O1'
'hh:mm:ss.mmm dd/mm/yyyy','uV'
'[23:27:16.088 06/02/2013]',-0.156
'[23:27:16.089 06/02/2013]',0.469
'[23:27:16.089 06/02/2013]',1.125
'[23:27:16.090 06/02/2013]',1.781
'[23:27:16.090 06/02/2013]',2.406
'[23:27:16.091 06/02/2013]',3.031
'[23:27:16.091 06/02/2013]',3.594
'[23:27:16.092 06/02/2013]',4.156
'[23:27:16.092 06/02/2013]',4.688
'[23:27:16.093 06/02/2013]',5.188
'[23:27:16.093 06/02/2013]',5.625
'[23:27:16.094 06/02/2013]',6.063
'[23:27:16.094 06/02/2013]',6.469
'[23:27:16.095 06/02/2013]',6.813
'[23:27:16.095 06/02/2013]',7.125
'[23:27:16.096 06/02/2013]',7.438
'[23:27:16.096 06/02/2013]',7.688
'[23:27:16.097 06/02/2013]',7.906
'[23:27:16.097 06/02/2013]',8.063
'[23:27:16.098 06/02/2013]',8.219
'[23:27:16.098 06/02/2013]',8.313
'[23:27:16.099 06/02/2013]',8.406
'[23:27:16.099 06/02/2013]',8.438
'[23:27:16.100 06/02/2013]',8.438
'[23:27:16.100 06/02/2013]',8.438
'[23:27:16.101 06/02/2013]',8.375
'[23:27:16.101 06/02/2013]',8.281
'[23:27:16.102 06/02/2013]',8.188
'[23:27:16.102 06/02/2013]',8.063
'[23:27:16.103 06/02/2013]',7.875
'[23:27:16.103 06/02/2013]',7.719
'[23:27:16.104 06/02/2013]',7.500
'[23:27:16.104 06/02/2013]',7.281
'[23:27:16.104 06/02/2013]',7.031
'[23:27:16.105 06/02/2013]',6.781
'[23:27:16.105 06/02/2013]',6.500
'[23:27:16.106 06/02/2013]',6.219
'[23:27:16.106 06/02/2013]',5.906
'[23:27:16.107 06/02/2013]',5.594
'[23:27:16.107 06/02/2013]',5.281
'[23:27:16.108 06/02/2013]',4.969
'[23:27:16.108 06/02/2013]',4.625
'[23:27:16.109 06/02/2013]',4.313
'[23:27:16.109 06/02/2013]',3.969
'[23:27:16.110 06/02/2013]',3.625
'[23:27:16.110 06/02/2013]',3.281
'[23:27:16.111 06/02/2013]',2.938
'[23:27:16.111 06/02/2013]',2.625
'[23:27:16.112 06/02/2013]',2.281
'[23:27:16.112 06/02/2013]',1.906
'[23:27:16.113 06/02/2013]',1.563
'[23:27:16.113 06/02/2013]',1.219
'[23:27:16.114 06/02/2013]',0.875
'[23:27:16.114 06/02/2013]',0.531
'[23:27:16.115 06/02/2013]',0.156
'[23:27:16.115 06/02/2013]',-0.125
'[23:27:16.116 06/02/2013]',-0.500
'[23:27:16.116 06/02/2013]',-0.875
'[23:27:16.117 06/02/2013]',-1.250
'[23:27:16.117 06/02/2013]',-1.625
'[23:27:16.118 06/02/2013]',-2.031
'[23:27:16.118 06/02/2013]',-2.406
'[23:27:16.119 06/02/2013]',-2.781
'[23:27:16.119 06/02/2013]',-3.188
'[23:27:16.120 06/02/2013]',-3.594
'[23:27:16.120 06/02/2013]',-3.969
'[23:27:16.121 06/02/2013]',-4.375
'[23:27:16.121 06/02/2013]',-4.781
'[23:27:16.122 06/02/2013]',-5.156
'[23:27:16.122 06/02/2013]',-5.563
'[23:27:16.123 06/02/2013]',-5.938
'[23:27:16.123 06/02/2013]',-6.344
'[23:27:16.124 06/02/2013]',-6.719
'[23:27:16.124 06/02/2013]',-7.094
'[23:27:16.125 06/02/2013]',-7.438
'[23:27:16.125 06/02/2013]',-7.813
'[23:27:16.125 06/02/2013]',-8.156
'[23:27:16.126 06/02/2013]',-8.469
'[23:27:16.126 06/02/2013]',-8.813
'[23:27:16.127 06/02/2013]',-9.125
'[23:27:16.127 06/02/2013]',-9.438
'[23:27:16.128 06/02/2013]',-9.719
'[23:27:16.128 06/02/2013]',-10.000
'[23:27:16.129 06/02/2013]',-10.281
'[23:27:16.129 06/02/2013]',-10.531
'[23:27:16.130 06/02/2013]',-10.781
'[23:27:16.130 06/02/2013]',-11.031
'[23:27:16.131 06/02/2013]',-11.250
'[23:27:16.131 06/02/2013]',-11.469
'[23:27:16.132 06/02/2013]',-11.688
'[23:27:16.132 06/02/2013]',-11.875
'[23:27:16.133 06/02/2013]',-12.063
'[23:27:16.133 06/02/2013]',-12.250
'[23:27:16.134 06/02/2013]',-12.406
'[23:27:16.134 06/02/2013]',-12.594
'[23:27:16.135 06/02/2013]',-12.719
'[23:27:16.135 06/02/2013]',-12.875
'[23:27:16.136 06/02/2013]',-13.000
'[23:27:16.136 06/02/2013]',-13.094
'[23:27:16.137 06/02/2013]',-13.219
'[23:27:16.137 06/02/2013]',-13.281
'[23:27:16.138 06/02/2013]',-13.375
'[23:27:16.138 06/02/2013]',-13.438
'[23:27:16.139 06/02/2013]',-13.469
'[23:27:16.139 06/02/2013]',-13.500
'[23:27:16.140 06/02/2013]',-13.500
'[23:27:16.140 06/02/2013]',-13.500
'[23:27:16.141 06/02/2013]',-13.500
'[23:27:16.141 06/02/2013]',-13.469
'[23:27:16.142 06/02/2013]',-13.438
'[23:27:16.142 06/02/2013]',-13.375
'[23:27:16.143 06/02/2013]',-13.313
'[23:27:16.143 06/02/2013]',-13.250
'[23:27:16.144 06/02/2013]',-13.156
'[23:27:16.144 06/02/2013]',-13.094
'[23:27:16.145 06/02/2013]',-13.000
'[23:27:16.145 06/02/2013]',-12.906
'[23:27:16.146 06/02/2013]',-12.813
'[23:27:16.146 06/02/2013]',-12.750
'[23:27:16.146 06/02/2013]',-12.656
'[23:27:16.147 06/02/2013]',-12.594
'[23:27:16.147 06/02/2013]',-12.563
'[23:27:16.148 06/02/2013]',-12.531
'[23:27:16.148 06/02/2013]',-12.500
'[23:27:16.149 06/02/2013]',-12.500
'[23:27:16.149 06/02/2013]',-12.531
'[23:27:16.150 06/02/2013]',-12.563
'[23:27:16.150 06/02/2013]',-12.656
'[23:27:16.151 06/02/2013]',-12.750
'[23:27:16.151 06/02/2013]',-12.875
'[23:27:16.152 06/02/2013]',-13.031
'[23:27:16.152 06/02/2013]',-13.219
'[23:27:16.153 06/02/2013]',-13.469
'[23:27:16.153 06/02/2013]',-13.688
'[23:27:16.154 06/02/2013]',-13.969
'[23:27:16.154 06/02/2013]',-14.281
'[23:27:16.155 06/02/2013]',-14.625
'[23:27:16.155 06/02/2013]',-14.969
'[23:27:16.156 06/02/2013]',-15.344
'[23:27:16.156 06/02/2013]',-15.750
'[23:27:16.157 06/02/2013]',-16.156
'[23:27:16.157 06/02/2013]',-16.563
'[23:27:16.158 06/02/2013]',-17.000
'[23:27:16.158 06/02/2013]',-17.438
'[23:27:16.159 06/02/2013]',-17.875
'[23:27:16.159 06/02/2013]',-18.344
'[23:27:16.160 06/02/2013]',-18.781
'[23:27:16.160 06/02/2013]',-19.219
'[23:27:16.161 06/02/2013]',-19.625
'[23:27:16.161 06/02/2013]',-20.032
'[23:27:16.162 06/02/2013]',-20.438
'[23:27:16.162 06/02/2013]',-20.813
'[23:27:16.163 06/02/2013]',-21.157
'[23:27:16.163 06/02/2013]',-21.500
'[23:27:16.164 06/02/2013]',-21.782
'[23:27:16.164 06/02/2013]',-22.063
'[23:27:16.165 06/02/2013]',-22.313
'[23:27:16.165 06/02/2013]',-22.563
'[23:27:16.166 06/02/2013]',-22.750
'[23:27:16.166 06/02/2013]',-22.907
'[23:27:16.167 06/02/2013]',-23.032
'[23:27:16.167 06/02/2013]',-23.094
'[23:27:16.167 06/02/2013]',-23.157
'[23:27:16.168 06/02/2013]',-23.188
'[23:27:16.168 06/02/2013]',-23.157
'[23:27:16.169 06/02/2013]',-23.094
'[23:27:16.169 06/02/2013]',-23.000
'[23:27:16.170 06/02/2013]',-22.844
'[23:27:16.170 06/02/2013]',-22.657
'[23:27:16.171 06/02/2013]',-22.438
'[23:27:16.171 06/02/2013]',-22.157
'[23:27:16.172 06/02/2013]',-21.875
'[23:27:16.172 06/02/2013]',-21.532
'[23:27:16.173 06/02/2013]',-21.125
'[23:27:16.173 06/02/2013]',-20.688
'[23:27:16.174 06/02/2013]',-20.219
'[23:27:16.174 06/02/2013]',-19.719
'[23:27:16.175 06/02/2013]',-19.188
'[23:27:16.175 06/02/2013]',-18.625
'[23:27:16.176 06/02/2013]',-18.000
'[23:27:16.176 06/02/2013]',-17.375
'[23:27:16.177 06/02/2013]',-16.719
'[23:27:16.177 06/02/2013]',-16.031
'[23:27:16.178 06/02/2013]',-15.313
'[23:27:16.178 06/02/2013]',-14.594
